image_path,disease,tissue,source,width,height,filename,magnification
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1029.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.103.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1030.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1031.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1032.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1033.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1034.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1035.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1036.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1037.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1038.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1039.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.104.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1040.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1041.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1042.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1043.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1044.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1045.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1046.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1047.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1048.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1049.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.105.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1050.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1051.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1052.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1053.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1054.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1055.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1056.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1057.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1058.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1059.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.106.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1060.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1061.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1062.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1063.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1064.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1065.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1066.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1067.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1068.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1069.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.107.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1070.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1071.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1072.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1073.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1074.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1075.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1076.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1077.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1078.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1079.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.108.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1080.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1081.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1082.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1083.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1084.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1085.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1086.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1087.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1088.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1089.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.109.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1090.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1091.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1092.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1093.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1094.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1095.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1096.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1097.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1098.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1099.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.11.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.110.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1100.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1101.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1102.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1103.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1104.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1105.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1106.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1107.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1108.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1109.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.111.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1110.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1111.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1112.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1113.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1114.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1115.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1116.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1117.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1118.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1119.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.112.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1120.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1121.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1122.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1123.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1124.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1125.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1126.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1127.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1128.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1129.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.113.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1130.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1131.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1132.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1133.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1134.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1135.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1136.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1137.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1138.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1139.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.114.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1140.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1141.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1142.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1143.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1144.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1145.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1146.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1147.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1148.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1149.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.115.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1150.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1151.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1152.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1153.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1154.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1155.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1156.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1157.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1158.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1159.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.116.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1160.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1161.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1162.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1163.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1164.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1165.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1166.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1167.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1168.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1169.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.117.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1170.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1171.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1172.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1173.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1174.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1175.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1176.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1177.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1178.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1179.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.118.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1180.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1181.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1182.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1183.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1184.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1185.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1186.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1187.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1188.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1189.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.119.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1190.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1191.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1192.jpg,coccidiosis,viscera,kaggle,512,512,,
poultry_microscopy\kaggle\allandclive_chicken-disease-1\Train\cocci.1193.jpg,coccidiosis,viscera,kaggle,512,512,,
